catcher,player_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
J.T. Realmuto,592663,143,28,87.6,0.68,33,1.89,1.88,1.89,1,1.34,1.34,-.--
Willson Contreras,575929,112,27,86.2,0.67,19,1.92,1.9,1.93,1,1.54,1.54,-.--
Tomas Nido,621512,121,25,80.3,0.67,13,1.94,1.9,1.94,2,1.63,-.--,1.63
Jake Rogers,668670,116,24,79.4,0.64,5,1.88,1.9,1.87,2,1.64,-.--,1.64
Russell Martin,431145,119,36,83.6,0.77,6,2.04,1.92,2.1,0,-.--,-.--,-.--
Kyle Higashioka,543309,147,29,82.4,0.77,6,1.94,1.92,1.96,1,1.52,-.--,1.52
Elias Diaz,553869,134,29,85.1,0.7,16,1.92,1.93,1.91,5,1.51,1.46,1.54
Gary Sanchez,596142,147,27,87.9,0.75,20,1.95,1.94,1.95,1,1.44,-.--,1.44
Jacob Stallings,607732,134,30,,0.7,7,1.98,1.94,2.01,0,-.--,-.--,-.--
Manny Pina,444489,158,32,83.2,0.65,15,1.96,1.94,1.97,3,1.63,1.58,1.65
Luke Maile,571912,141,28,83,0.7,13,1.99,1.95,2.02,0,-.--,-.--,-.--
Yadier Molina,425877,138,37,84.1,0.68,9,1.97,1.95,2,1,1.45,-.--,1.45
Welington Castillo,456078,145,32,79.9,0.63,15,1.96,1.96,1.96,0,-.--,-.--,-.--
Mike Zunino,572287,139,28,81,0.7,17,1.97,1.96,1.98,1,1.63,-.--,1.63
Sandy Leon,506702,111,30,78.7,0.65,11,1.99,1.96,2,2,1.57,1.57,-.--
Martin Maldonado,455117,117,33,86.7,0.77,23,1.96,1.96,1.96,0,-.--,-.--,-.--
Austin Hedges,595978,135,27,83.2,0.68,18,1.92,1.97,1.9,3,1.55,1.62,1.51
Anthony Bemboom,621532,108,29,83.5,0.67,6,1.97,1.97,1.97,0,-.--,-.--,-.--
Roberto Perez,547379,114,31,82.7,0.73,27,1.96,1.97,1.95,0,-.--,-.--,-.--
Meibrys Viloria,650619,118,22,82.6,0.72,5,1.96,1.97,1.96,2,1.55,1.55,-.--
Grayson Greiner,606988,116,27,85.4,0.74,20,1.97,1.98,1.96,2,1.51,1.49,1.53
Willians Astudillo,553902,142,28,78.8,0.76,6,2,1.98,2.01,1,2.06,-.--,2.06
Tony Wolters,547172,115,27,79.6,0.64,28,1.96,1.98,1.95,4,1.55,1.54,1.56
Buster Posey,457763,137,32,83.2,0.73,36,1.99,1.98,2,2,1.54,-.--,1.54
Jorge Alfaro,595751,146,26,88,0.75,21,1.96,1.98,1.93,2,1.6,-.--,1.6
Dustin Garneau,572863,133,32,78.1,0.68,9,1.97,1.98,1.96,1,1.62,-.--,1.62
Kevan Smith,607345,108,31,83,0.74,8,2.04,1.98,2.05,1,1.51,-.--,1.51
Will Smith,669257,119,24,83.8,0.72,7,1.97,1.99,1.96,0,-.--,-.--,-.--
Yan Gomes,543228,120,32,80.6,0.67,17,1.95,1.99,1.93,3,1.53,1.52,1.55
Bryan Holaday,592407,146,32,78.1,0.69,7,2.02,1.99,2.03,2,1.58,1.59,1.57
Mitch Garver,641598,142,28,81.6,0.77,8,2.04,1.99,2.06,1,1.89,-.--,1.89
Reese McGuire,624512,141,24,78.3,0.66,5,2.01,1.99,2.02,0,-.--,-.--,-.--
Pedro Severino,600474,110,26,83.7,0.73,17,2,1.99,2,0,-.--,-.--,-.--
Francisco Cervelli,465041,144,33,80.3,0.67,10,1.99,2,1.98,0,-.--,-.--,-.--
Bobby Wilson,435064,116,36,76.3,0.76,8,2.08,2,2.1,1,1.62,-.--,1.62
Andrew Knapp,595284,143,28,83.9,0.72,9,1.99,2,1.99,0,-.--,-.--,-.--
Josh Phegley,572033,133,31,79.9,0.68,27,1.99,2,1.99,3,1.85,1.85,-.--
Christian Vazquez,543877,111,29,80.7,0.7,23,1.97,2,1.94,3,1.55,1.52,1.63
Jonathan Lucroy,518960,112,33,80.1,0.69,27,2.01,2,2.01,3,1.59,-.--,1.59
Robinson Chirinos,455139,117,35,80.8,0.72,24,2.01,2.01,2.01,0,-.--,-.--,-.--
John Hicks,543308,116,30,82.8,0.74,21,2.01,2.01,2,5,1.57,-.--,1.57
Erik Kratz,456124,139,39,80.9,0.77,8,2.01,2.01,2.01,0,-.--,-.--,-.--
Isiah Kiner-Falefa,643396,140,24,77.4,0.66,9,2.02,2.01,2.03,0,-.--,-.--,-.--
Wilson Ramos,467092,121,32,81.6,0.72,50,2,2.01,1.99,4,1.58,-.--,1.58
Matt Wieters,446308,138,33,79.3,0.71,10,2.02,2.02,2,0,-.--,-.--,-.--
Nick Hundley,460026,133,36,80.5,0.7,12,2.01,2.02,2,1,1.54,1.54,-.--
Tom Murphy,608596,136,28,85.9,0.76,10,2.03,2.02,2.06,0,-.--,-.--,-.--
Alex Avila,488671,109,32,81.7,0.75,10,2.01,2.02,2.01,0,-.--,-.--,-.--
James McCann,543510,145,29,81.3,0.76,16,2.07,2.02,2.13,7,1.6,1.54,1.63
Francisco Mejia,642336,135,24,89,0.77,10,1.96,2.03,1.94,2,1.55,-.--,1.55
Tucker Barnhart,571466,113,28,79.3,0.7,24,2.01,2.03,2,0,-.--,-.--,-.--
Jason Castro,488771,142,32,82.1,0.73,17,2,2.03,1.99,2,1.61,-.--,1.61
Danny Jansen,643376,141,24,80.1,0.77,31,2.05,2.03,2.06,2,1.61,-.--,1.61
Travis d'Arnaud,518595,139,30,83.7,0.76,13,2,2.04,1.97,0,-.--,-.--,-.--
Chris Iannetta,455104,115,36,80.2,0.75,8,2.08,2.04,2.1,1,1.63,-.--,1.63
Tim Federowicz,543148,140,32,80.1,0.69,5,2.03,2.04,2.02,1,1.6,-.--,1.6
Kurt Suzuki,435559,120,36,81.1,0.8,17,2.07,2.04,2.07,3,1.65,1.69,1.63
Austin Wynns,642851,110,29,78.1,0.72,6,2.03,2.04,2.02,0,-.--,-.--,-.--
Cam Gallagher,595956,118,27,79.4,0.73,13,2.05,2.04,2.05,0,-.--,-.--,-.--
Carson Kelly,608348,109,25,82.5,0.74,17,1.99,2.05,1.98,1,1.51,-.--,1.51
Jesus Sucre,491696,110,31,80.7,0.75,5,2.05,2.05,2.06,0,-.--,-.--,-.--
Victor Caratini,605170,112,26,79.1,0.78,10,2.07,2.06,2.07,3,1.67,-.--,1.67
Max Stassi,545358,108,28,81.7,0.76,10,2.03,2.07,2.02,1,1.61,1.61,-.--
Austin Romine,519222,147,31,81.9,0.81,11,2.05,2.08,2.04,3,1.68,1.56,1.74
Tyler Flowers,452095,144,33,76,0.73,23,2.12,2.09,2.13,1,1.58,-.--,1.58
Chance Sisco,642082,110,24,79.1,0.78,16,2.1,2.09,2.11,0,-.--,-.--,-.--
Curt Casali,592200,113,31,78.9,0.75,13,2.09,2.09,2.09,2,1.61,-.--,1.61
Brian McCann,435263,144,35,77.1,0.76,18,2.08,2.09,2.08,2,1.62,-.--,1.62
Yasmani Grandal,518735,158,31,78.6,0.71,37,2.07,2.11,2.06,1,1.66,1.66,-.--
Jeff Mathis,425772,140,36,76.3,0.76,20,2.12,2.12,2.12,4,1.72,-.--,1.72
Austin Barnes,605131,119,30,76.8,0.67,10,2.09,2.13,2.09,2,1.6,-.--,1.6
Stephen Vogt,519390,137,35,73,0.69,11,2.13,2.13,2.13,2,1.71,1.65,1.78
Kevin Plawecki,608700,114,28,78,0.73,6,2.1,2.15,2.09,3,1.57,1.58,1.56
Omar Narvaez,553882,136,27,79.4,0.77,27,2.08,2.23,2.07,4,1.61,1.62,1.6
