catcher,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba
J.T. Realmuto,87.6,0.68,33,1.89
Willson Contreras,86.2,0.67,19,1.92
Tomas Nido,80.3,0.67,13,1.94
Jake Rogers,79.4,0.64,5,1.88
Russell Martin,83.6,0.77,6,2.04
Kyle Higashioka,82.4,0.77,6,1.94
Elias Diaz,85.1,0.7,16,1.92
Gary Sanchez,87.9,0.75,20,1.95
Jacob Stallings,,0.7,7,1.98
Manny Pina,83.2,0.65,15,1.96
Luke Maile,83,0.7,13,1.99
Yadier Molina,84.1,0.68,9,1.97
Welington Castillo,79.9,0.63,15,1.96
Mike Zunino,81,0.7,17,1.97
Sandy Leon,78.7,0.65,11,1.99
Martin Maldonado,86.7,0.77,23,1.96
Austin Hedges,83.2,0.68,18,1.92
Anthony Bemboom,83.5,0.67,6,1.97
Roberto Perez,82.7,0.73,27,1.96
Meibrys Viloria,82.6,0.72,5,1.96
Grayson Greiner,85.4,0.74,20,1.97
Willians Astudillo,78.8,0.76,6,2
Tony Wolters,79.6,0.64,28,1.96
Buster Posey,83.2,0.73,36,1.99
Jorge Alfaro,88,0.75,21,1.96
Dustin Garneau,78.1,0.68,9,1.97
Kevan Smith,83,0.74,8,2.04
Will Smith,83.8,0.72,7,1.97
Yan Gomes,80.6,0.67,17,1.95
Bryan Holaday,78.1,0.69,7,2.02
Mitch Garver,81.6,0.77,8,2.04
Reese McGuire,78.3,0.66,5,2.01
Pedro Severino,83.7,0.73,17,2
Francisco Cervelli,80.3,0.67,10,1.99
Bobby Wilson,76.3,0.76,8,2.08
Andrew Knapp,83.9,0.72,9,1.99
Josh Phegley,79.9,0.68,27,1.99
Christian Vazquez,80.7,0.7,23,1.97
Jonathan Lucroy,80.1,0.69,27,2.01
Robinson Chirinos,80.8,0.72,24,2.01
John Hicks,82.8,0.74,21,2.01
Erik Kratz,80.9,0.77,8,2.01
Isiah Kiner-Falefa,77.4,0.66,9,2.02
Wilson Ramos,81.6,0.72,50,2
Matt Wieters,79.3,0.71,10,2.02
Nick Hundley,80.5,0.7,12,2.01
Tom Murphy,85.9,0.76,10,2.03
Alex Avila,81.7,0.75,10,2.01
James McCann,81.3,0.76,16,2.07
Francisco Mejia,89,0.77,10,1.96
Tucker Barnhart,79.3,0.7,24,2.01
Jason Castro,82.1,0.73,17,2
Danny Jansen,80.1,0.77,31,2.05
Travis d'Arnaud,83.7,0.76,13,2
Chris Iannetta,80.2,0.75,8,2.08
Tim Federowicz,80.1,0.69,5,2.03
Kurt Suzuki,81.1,0.8,17,2.07
Austin Wynns,78.1,0.72,6,2.03
Cam Gallagher,79.4,0.73,13,2.05
Carson Kelly,82.5,0.74,17,1.99
Jesus Sucre,80.7,0.75,5,2.05
Victor Caratini,79.1,0.78,10,2.07
Max Stassi,81.7,0.76,10,2.03
Austin Romine,81.9,0.81,11,2.05
Tyler Flowers,76,0.73,23,2.12
Chance Sisco,79.1,0.78,16,2.1
Curt Casali,78.9,0.75,13,2.09
Brian McCann,77.1,0.76,18,2.08
Yasmani Grandal,78.6,0.71,37,2.07
Jeff Mathis,76.3,0.76,20,2.12
Austin Barnes,76.8,0.67,10,2.09
Stephen Vogt,73,0.69,11,2.13
Kevin Plawecki,78,0.73,6,2.1
Omar Narvaez,79.4,0.77,27,2.08
